die Zeit	the time
die Kommunikation	the communication
der Lauf	the run
der Bildschirm	the screen
der Bewohner	the resident
das Gold	the gold
der Klub	the club
der Bauernhof	the farm
der Anstieg	the increase
die Mitte	the middle
das Vorhandensein	the presence
das Viertel	the district
die Form	the shape
der Leser	the reader
der Vertrag	the contract
die Menge	the crowd
das Apartment	the apartment
die Stärke	the strength
die Band	the band
das Pferd	the horse
das Ziel	the target
das Gefängnis	the prison
die Wache	the guard
die Nachfrage	the demand
der Reporter	the reporter
der Text	the text
das Teilen	the share
das Werkzeug	the tool
das Fahrzeug	the vehicle
der Flug	the flight
die Einrichtung	the facility
das Verständnis	the understanding
der Vorteil	the advantage
die Führung	the leadership
das Pfund	the pound
die Basis	the basis
der Gast	the guest
die Probe	the sample
der Block	the block
der Schutz	the protection
die Identität	the identity
der Titel	the title
der Unterricht	the lesson
der Glaube	the faith
der Fluss	the river
die Lebenden	the living
die Technik	the technique
der Weg	the path
das Ohr	the ear
das Volk	the folk
das Prinzip	the principle
die Grenze	the border
der Wettbewerb	the competition
die Forderung	the claim
die Ausrüstung	the equipment
der Kritiker	the critic
der Aspekt	the aspect
der Fehlschlag	the failure
der Kommentar	the comment
die Affäre	the affair
das Verfahren	the procedure
der Vorsitzende	the chairman
der Baseball	the baseball
das Ei	the egg
der Glaube	the belief
der Mord	the murder
das Geschenk	the gift
die Religion	the religion
die Überprüfung	the review
der Editor	the editor
der Kaffee	the coffee
das Dokument	the document
die Geschwindigkeit	the speed
der Einfluss	the influence
die Jugend	the youth
die Welle	the wave
die Bewegung	the move
das Viertel	the quarter
der Hintergrund	the background
die Reaktion	the reaction
der Anzug	the suit
die Perspektive	the perspective
die Konstruktion	the construction
die Intelligenz	the intelligence
die Verbindung	the connection
der Schuh	the shoe
die Note	the grade
der Kontext	the context
das Komitee	the committee
der Fehler	the mistake
der Fokus	the focus
das Lächeln	the smile
der Standort	the location
die Kleidung	the clothes
der Nachbar	the neighbor
die Fahrt	the drive
die Funktion	the function
der Knochen	the bone
die durchschnittliche	the average
der Wein	the wine
der Wähler	the voter
das Lernen	the learning
der Bus	the bus
die Hölle	the hell
die Kategorie	the category
der Sieg	the victory
der Schlüssel	the key
der Besuch	the visit
das Internet	the Internet
die Medizin	the medicine
die Reise	the tour
das Foto	the photo
das Klassenzimmer	the classroom
der Kontakt	the contact
die Gerechtigkeit	the justice
das Paar	the pair
die Übung	the exercise
das Knie	the knee
die Blume	the flower
das Band	the tape
die Versorgung	the supply
der Schnitt	the cut
der Wille	the will
der Schauspieler	the actor
die Geburt	the birth
die Suche	the search
die Demokratie	the democracy
der Kreis	the circle
das Gerät	the device
der Fortschritt	the progress
die Front	the front
die Insel	the island
der Austausch	the exchange
das Studio	the studio
die Dame	the lady
der Kollege	the colleague
die Anwendung	the application
der Hals	the neck
der Schaden	the damage
der Kunststoff	the plastic
der Teller	the plate
das Schreiben	the writing
der Anfang	the start
der Ausdruck	the expression
der Fußball	the football
das Huhn	the chicken
die Armee	the army
der Missbrauch	the abuse
das Theater	the theater
die Karte	the map
die Sitzung	the session
die Gefahr	the danger
die Literatur	the literature
der Regen	the rain
das Verlangen	the desire
die Beurteilung	the assessment
die Verletzung	the injury
der Respekt	the respect
der Treibstoff	the fuel
das Blatt	the leaf
die Anleitung	the instruction
der Kampf	the fight
der Pool	the pool
die Führung	the lead
der Motor	the engine
das Salz	the salt
die Wichtigkeit	the importance
das Metall	the metal
das Fett	the fat
das Ticket	the ticket
die Software	the software
die Lippe	the lip
das Lesen	the reading
das Mittagessen	the lunch
der Bauer	the farmer
der Zucker	the sugar
der Planet	the planet
der Feind	the enemy
der Athlet	the athlete
die Seele	the soul
die Platte	the panel
die Bedeutung	the meaning
die Mutter	the mom
das Instrument	the instrument
das Wetter	the weather
das Engagement	the commitment
die Tasche	the pocket
die Temperatur	the temperature
die Überraschung	the surprise
die Umfrage	the poll
der Antrag	the proposal
die Konsequenz	the consequence
die Hälfte	the half
der Atem	the breath
die Sicht	the sight
die Titelseite	the cover
die Balance	the balance
die Minderheit	the minority
die Werke	the works
das Lehren	the teaching
die Hilfe	the aid
der Ratschlag	the advice
die Fotografie	the photograph
der Pfad	the trail
der Roman	the novel
der Code	the code
die Jury	the jury
die Brust	the breast
der Mensch	the human
der Sturm	the storm
die Union	the union
der Schreibtisch	the desk
die dank	the thanks
das Obst	the fruit
das Fazit	the conclusion
der Schatten	the shadow
der Analytiker	the analyst
der Tanz	the dance
das Limit	the limit
die Regulation	the regulation
das Sein	the being
der Ring	the ring
die Einnahmen	the revenue
der Kreis	the county
die Erscheinung	the appearance
das Paket	the package
die Schwierigkeit	the difficulty
die Brücke	the bridge
der Zug	the train
die Email	the e-mail
das Denken	the thinking
die Tendenz	the trend
der Besucher	the visitor
das Darlehen	the loan
der Anleger	the investor
der Profit	the profit
die Besatzung	the crew
der Unfall	the accident
der männliche	the male
die Mahlzeit	the meal
die Anhörung	the hearing
der Verkehr	the traffic
der Muskel	the muscle
die Vorstellung	the notion
die Erde	the earth
die Brust	the chest
das Geld	the cash
das Museum	the museum
die Schönheit	the beauty
der Notfall	the emergency
der Stress	the stress
der Inhalt	the content
der Ursprung	the root
die Nase	the nose
die Flasche	the bottle
die Einstellung	the setting
das Kleid	the dress
die Datei	the file
das Ergebnis	the outcome
die Anzeige	the ad
die Pflicht	the duty
das Blatt	the sheet
das Ausmaß	the extent
die Komponente	the component
der Kontrast	the contrast
die Zone	the zone
der Flughafen	the airport
der Chef	the chief
das Hemd	the shirt
der Pilot	the pilot
die Katze	the cat
der Beitrag	the contribution
die Kapazität	the capacity
das Anwesen	the estate
der Führer	the guide
der Schnee	the snow
der Politiker	the politician
der Prozentanteil	the percentage
das Fleisch	the meat
die Erde	the soil
die Operation	the surgery
der Basketball	the basketball
der Golf	the golf
die Kette	the chain
die Adresse	the address
die Branche	the branch
die Kombination	the combination
der Gouverneur	the governor
das Relief	the relief
der Benutzer	the user
der Vater	the dad
die Methode	the manner
die Stille	the silence
das Rating	the rating
das Geschlecht	the gender
die Gebühr	the fee
die Landschaft	the landscape
die Schale	the bowl
der Rahmen	the frame
der Gastgeber	the host
die Halle	the hall
der Ozean	the ocean
die Reihe	the row
der Produzent	the producer
das Regime	the regime
der Unternehmensbereich	the division
die Beschwerde	the appeal
der Spiegel	the mirror
der Zahn	the tooth
die Länge	the length
die Variable	the variable
das Telefon	the telephone
die Wahrnehmung	the perception
das Vertrauen	the confidence
das Schlafzimmer	the bedroom
das Geheimnis	the secret
die Schuld	the debt
der Panzer	the tank
die Krankenschwester	the nurse
die Abdeckung	the coverage
die Opposition	the opposition
die Bindung	the bond
die Freude	the pleasure
der Meister	the master
die Ära	the era
die Anforderung	the requirement
die Prüfung	the check
der Stand	the stand
der Spaß	the fun
die Erwartung	the expectation
der Flügel	the wing
das Urteil	the judgment
das Bier	the beer
das Englisch	the English
die Referenz	the reference
die Träne	the tear
der Zweifel	the doubt
der Minister	the minister
der Held	the hero
die Wolke	the cloud
der Gewinner	the winner
die Lautstärke	the volume
der Samen	the seed
die Mode	the fashion
der Pfeffer	the pepper
die Intervention	the intervention
die Kopie	the copy
das Trinkgeld	the tip
die Wohlfahrt	the welfare
das Gemüse	the vegetable
das Gericht	the dish
der Strand	the beach
die Verbesserung	the improvement
die Eröffnung	the opening
die Route	the route
die Liga	the league
der Kern	the core
der Aufgang	the rise
die Krawatte	the tie
der Urlaub	the holiday
die Auflösung	the resolution
der Haushalt	the household
die Abtreibung	the abortion
der Zeuge	the witness
der Sektor	the sector
der Abgeordnete	the representative
das Schwarze	the black
der Vorfall	the incident
die Strömung	the flow
die Fakultät	the faculty
der Müll	the waste
die Masse	the mass
das Experiment	the experiment
die Bombe	the bomb
der Ton	the tone
der Ingenieur	the engineer
das Rad	the wheel
das Weibchen	the female
das Versprechen	the promise
das Kabel	the cable
die AIDS	the AIDS
der Jude	the Jew
die Creme	the cream
die Sekretärin	the secretary
das Tor	the gate
der Hügel	the hill
der Lärm	the noise
das Gras	the grass
der Hut	the hat
die Gesetzgebung	the legislation
die Leistung	the achievement
das fischen	the fishing
das Getränk	the drink
das Talent	the talent
der Geschmack	the taste
das Merkmal	the characteristic
die Milch	the milk
der Satz	the sentence
die Höhe	the height
der Physiker	the physician
der Schlaf	the sleep
die Fahrt	the ride
die Erklärung	the explanation
der Campus	the campus
das Potenzial	the potential
der Immigrant	the immigrant
die Alternative	the alternative
die Interaktion	the interaction
die Kolumne	the column
die Persönlichkeit	the personality
das Signal	the signal
der Lebenslauf	the curriculum
die Ehre	the honor
der Passagier	the passenger
die Unterstützung	the assistance
der Verein	the association
das Labor	the lab
das Angebot	the offer
die Kritik	the criticism
das Kapital	the asset
die Depression	the depression
der Journalist	the journalist
das Gebet	the prayer
der Gelehrte	the scholar
die Warnung	the warning
das Klima	the climate
der Käse	the cheese
die Beobachtung	the observation
die Kindheit	the childhood
die Bezahlung	the payment
der sir	the sir
die Zigarette	the cigarette
die Definition	the definition
die Priorität	the priority
das Brot	the bread
die Kreation	the creation
der Absolvent	the graduate
die Anfrage	the request
das Gefühl	the emotion
das Universum	the universe
die Lücke	the gap
der Staatsanwalt	the prosecutor
die Note	the mark
das Grün	the green
die Fluggesellschaft	the airline
die Bibliothek	the library
die Tagesordnung	the agenda
die Fabrik	the factory
die Auswahl	the selection
das Dach	the roof
die Kosten	the expense
die Initiative	the initiative
die Diät	the diet
die finanzierung	the funding
die Therapie	the therapy
der Stundenplan	the schedule
das Gehäuse	the housing
die Post	the post
die Dunkelheit	the dark
der Stahl	the steel
der Chip	the chip
das Ich	the self
das Fahrrad	the bike
der Tee	the tea
der Vergleich	the comparison
die Siedlung	the settlement
die Schicht	the layer
die Planung	the planning
die Beschreibung	the description
die Hochzeit	the wedding
die Portion	the portion
das Territorium	the territory
der Gegner	the opponent
der Link	the link
der See	the lake
die Spannung	the tension
der Bildschirm	the display
der Alkohol	the alcohol
der Gewinn	the gain
die Wüste	the desert
der Fehler	the error
die Freisetzung	the release
der Polizist	the cop
das Wandern	the walk
der Sand	the sand
der Schlag	the hit
der Druck	the print
der Durchgang	the passage
der Übergang	the transition
die Existenz	the existence
das Album	the album
die Teilnahme	the participation
der Kreislauf	the cycle
das Ganze	the whole
der Widerstand	the resistance
die Entdeckung	the discovery
die Belichtung	the exposure
der Strom	the stream
der Verkauf	the sale
das Vertrauen	the trust
der Topf	the pot
die Koalition	the coalition
das Märchen	the tale
das Messer	the knife
die Phase	the phase
das Geschenk	the present
der Witz	the joke
der Mantel	the coat
das Symptom	the symptom
der Hersteller	the manufacturer
die Philosophie	the philosophy
die Kartoffel	the potato
die Grundlage	the foundation
der Pass	the pass
die Verhandlung	the negotiation
der Anlass	the occasion
der Staub	the dust
die Ermittler	the investigator
die Jacke	the jacket
die Reduzierung	the reduction
die Verschiebung	the shift
der Selbstmord	the suicide
die Berührung	the touch
die Substanz	the substance
die Disziplin	the discipline
das Bügeleisen	the iron
die Leidenschaft	the passion
die Freiwillige	the volunteer
die Durchsetzung	the enforcement
die Soße	the sauce
die Unabhängigkeit	the independence
das Marketing	the marketing
der Priester	the priest
der Fortschritt	the advance
der Arbeitgeber	the employer
der Schock	the shock
die Krankheit	the illness
die Kappe	the cap
die Angewohnheit	the habit
der Saft	the juice
die Beteiligung	the involvement
der Inder	the Indian
das Unglück	the disaster
der Parkplatz	the parking
das Prospekt	the prospect
der Chef	the boss
die Beschwerde	the complaint
die Meisterschaft	the championship
das Mysterium	the mystery
die Armut	the poverty
der Eintritt	the entry
die Ausgaben	the spending
der König	the king
das Symbol	the symbol
der Macher	the maker
die Stimmung	the mood
der Schwerpunkt	the emphasis
das Boot	the boot
die Unterhaltung	the entertainment
die Bohne	the bean
die Bewertung	the evaluation
die Kreatur	the creature
der Kommandant	the commander
die Anordnung	the arrangement
die Gesamt	the total
die Wut	the anger
der Spitzer	the peak
die Störung	the disorder
die Rakete	the missile
das Kabel	the wire
die Runde	the round
der Vertrieb	the distribution
der Transport	the transportation
der Zwilling	the twin
der Befehl	the command
die Kommission	the commission
die Interpretation	the interpretation
das Frühstück	the breakfast
der Halt	the stop
das Ingenieurwesen	the engineering
das Glück	the luck
die Klinik	the clinic
der Veteran	the veteran
die Esslöffel	the tablespoon
der Tourist	the tourist
die Tomate	the tomato
die Ausnahme	the exception
die Butter	the butter
das Defizit	the deficit
das Bad	the bathroom
der Verbündete	the ally
der Ruf	the reputation
die Mischung	the mixture
der Turm	the tower
der Rauch	the smoke
die Dimension	the dimension
das Spielzeug	the toy
der Häftling	the prisoner
in der Nähe	nearby
der Peer	the peer
der Designer	the designer
das Personal	the personnel
der Erzieher	the educator
die relativen	the relative
die Einwanderung	the immigration
der Gürtel	the belt
der Teelöffel	the teaspoon
der Geburtstag	the birthday
die Implikation	the implication
die Küste	the coast
der Unterstützer	the supporter
das Silber	the silver
der Teenager	the teenager
die Erkennung	the recognition
das Renten	the retirement
die Flagge	the flag
die Wiederherstellung	the recovery
die Uhr	the watch
der Gentleman	the gentleman
der Mais	the corn
der Mond	the moon
die Kehle	the throat
das Gehalt	the salary
der Beobachter	the observer
die Veröffentlichung	the publication
die Ernte	the crop
der Streik	the strike
das Phänomen	the phenomenon
die Angst	the anxiety
das Treffen	the convention
die Ausstellung	the exhibition
der Beobachter	the viewer
die Pfanne	the pan
der Berater	the consultant
der Administrator	the administrator
der Bürgermeister	the mayor
die Gegenleistung	the consideration
der Geschäftsführer	the CEO
die Schätzung	the estimate
der Bock	the buck
das Gedicht	the poem
die Großmutter	the grandmother
das Unternehmen	the enterprise
die Prüfung	the testing
der Magen	the stomach
der Vorschlag	the suggestion
die Post	the mail
das Rezept	the recipe
die Vorbereitung	the preparation
das Konzert	the concert
die Absicht	the intention
der Kanal	the channel
das Rohr	the tube
die Zeichnung	the drawing
das Protein	the protein
die Abwesenheit	the absence
die Rolle	the roll
das Gefängnis	the jail
die Vielfalt	the diversity
die Geschwindigkeit	the pace
die Anstellung	the employment
der Lautsprecher	the speaker
der Eindruck	the impression
der Aufsatz	the essay
der Antwortende	the respondent
der Kuchen	the cake
der Historiker	the historian
der Spezialist	the specialist
der Ursprung	the origin
die Freigabe	the approval
die Mine	the mine
der Fall	the drop
die Zählung	the count
die Tiefe	the depth
der Reichtum	the wealth
die Behinderung	the disability
die Muschel	the shell
der Profi	the professional
die Packung	the pack
die Zwiebel	the onion
der Stellvertreter	the deputy
die Marke	the brand
die Auszeichnung	the award
das Kriterium	the criteria
der Händler	the dealer
das Dienstprogramm	the utility
die Autobahn	the highway
die Routine	the routine
der Lohn	the wage
die Zutat	the ingredient
die Beteiligung	the stake
die Faser	the fiber
der Aktivist	the activist
der Terrorismus	the terrorism
der Flüchtling	the refugee
die Hüfte	the hip
die Annahme	the assumption
die Ausrüstung	the gear
die Barriere	the barrier
die Provision	the provision
der Mörder	the killer
die Gruppe	the gang
die Chemikalie	the chemical
das Etikett	the label
der Teenager	the teen
der Index	the index
der Urlaub	the vacation
der Anwalt	the advocate
der Entwurf	the draft
der Himmel	the heaven
das Drama	the drama
der Satellit	the satellite
das Wunder	the wonder
die Uhr	the clock
die Schokolade	the chocolate
die Decke	the ceiling
die Werbung	the advertising
die Taste	the button
die Glocke	the bell
der Rang	the rank
die Dunkelheit	the darkness
die Bekleidung	the clothing
der Zaun	the fence
das Porträt	the portrait
die Farbe	the paint
das Überleben	the survival
die Klage	the lawsuit
das Zeugnis	the testimony
das Bündel	the bunch
der Beat	the beat
die Last	the burden
die Kammer	the chamber
die Möbel	the furniture
die Kooperation	the cooperation
die Saite	the string
die Zeremonie	the ceremony
die Wange	the cheek
das Profil	the profile
der Mechanismus	the mechanism
die Strafe	the penalty
das Match	the match
das Resort	the resort
die Zerstörung	the destruction
der Bär	the bear
das Gewebe	the tissue
der Fremde	the stranger
die Infektion	the infection
das Kabinett	the cabinet
der Apfel	the apple
der Virus	the virus
der Streit	the dispute
das Glück	the fortune
der Assistent	the assistant
die Statistiken	the statistics
das Einkaufen	the shopping
der Cousin	the cousin
das weiß	the white
der Hafen	the port
der Strom	the electricity
der Berater	the adviser
die Bezahlung	the pay
der Sprecher	the spokesman
der Anreiz	the incentive
der Sklave	the slave
der Terror	the terror
die Erweiterung	the expansion
die Elite	the elite
der Dreck	the dirt
der Reis	the rice
die Kugel	the bullet
die Bibel	the Bible
die Grafik	the chart
der Rückgang	the decline
die konservative	the conservative
der Stock	the stick
die Konzentration	the concentration
der Meister	the champion
das Szenario	the scenario
das Teleskop	the telescope
die Reflektion	the reflection
die Revolution	the revolution
der Streifen	the strip
der Wettbewerb	the tournament
die Fiktion	the fiction
die Lebensdauer	the lifetime
die Empfehlung	the recommendation
der Senator	the senator
die Jagd	the hunting
der Salat	the salad
die Grenze	the boundary
die Zufriedenheit	the satisfaction
das Tagebuch	the journal
die Bank	the bench
der Liebhaber	the lover
das Bewusstsein	the awareness
die allgemeine	the general
das Deck	the deck
der Pol	the pole
der Modus	the mode
der Dialog	the dialogue
der Gründer	the founder
der Stolz	the pride
das Flugzeug	the aircraft
die Lieferung	the delivery
