sein	be
die Hochschule	the college
die Interesse	the interest
der Tod	the death
kurs	course
jemand	someone
die Erfahrung	the experience
hinter	behind
erreichen	reach
lokal	local
töten	kill
sechs	six
bleiben übrig	remain
der Effekt	the effect
die Verwendung	the use
ja	yeah
vorschlagen	suggest
die Klasse	the class
die Kontrolle	the control
erziehen	raise
die Pflege	the care
vielleicht	perhaps
spät	late
hart	hard
das Feld	the field
sonst	else
bestehen	pass
ehemalige	former
verkaufen	sell
haupt	major
manchmal	sometimes
benötigen	require
eine lange	along
die Entwicklung	the development
sich	themselves
Bericht	report
die Rolle	the role
besser	better
wirtschaftlich	economic
der Aufwand	the effort
entscheiden	decide
die Rate	the rate
stark	strong
möglich	possible
das Herz	the heart
das Medikament	the drug
die Show	the show
der Leiter	the leader
das Licht	the light
die Stimme	the voice
die Frau	the wife
ganze	whole
die Polizei	the police
der Verstand	the mind
endlich	finally
ziehen	pull
rückkehr	return
frei	free
der Preis	the price
der Bericht	the report
weniger	less
gemäß	according
die Entscheidung	the decision
erklären	explain
der Sohn	the son
Hoffnung	hope
entwickeln	develop
die Aussicht	the view
die Beziehung	the relationship
tragen	carry
die Stadt	the town
die Straße	the road
fahrt	drive
der Arm	the arm
bundes	federal
unterbrechung	break
der Unterschied	the difference
danken	thank
erhalten	receive
der Wert	the value
international	international
das Gebäude	the building
die Aktion	the action
voll	full
das Model	the model
beitreten	join
die Saison	the season
die Gesellschaft	the society
die Steuer	the tax
der Direktor	the director
die Position	the position
der Spieler	the player
zustimmen	agree
insbesondere	especially
der Datensatz	the record
pflücken	pick
tragen	wear
das Papier	the paper
besondere	special
der Raum	the space
der Boden	the ground
die Form	the form
unterstützung	support
das Ereignis	the event
das offizielle	the official
deren	whose
der Grund	the matter
jeder	everyone
das Zentrum	the center
das Ehepaar	the couple
der Standort	the site
Ende	end
das Projekt	the project
schlagen	hit
Base	base
die Aktivität	the activity
der Stern	the star
der Tisch	the table
das Bedürfnis	the need
das Gericht	the court
produzieren	produce
essen	eat
die Amerikaner	the American
lehren	teach
das Öl	the oil
Hälfte	half
die Situation	the situation
einfach	easy
die Kosten	the cost
die Branche	the industry
die Figur	the figure
Gesicht	face
die Straße	the street
das Bild	the image
selbst	itself
das Telefon	the phone
entweder	either
die Daten	the data
abdeckung	cover
ganz	quite
das Bild	the picture
klar	clear
die Übung	the practice
das Stück	the piece
das Land	the land
kürzlich	recent
beschreiben	describe
das Produkt	the product
der Doktor	the doctor
die Mauer	the wall
der Patient	the patient
der Arbeiter	the worker
die Nachrichten	the news
der Test	the test
der Film	the movie
sicher	certain
der Norden	the north
die Liebe	the love
persönlich	personal
die Unterstützung	the support
einfach	simply
dritte	third
die Technologie	the technology
fang	catch
der Schritt	the step
das Baby	the baby
der Computer	the computer
der Typ	the type
die Aufmerksamkeit	the attention
zeichnen	draw
der Film	the film
die Republikaner	the Republican
der Baum	the tree
die Quelle	the source
rot	red
fast	nearly
die Organisation	the organization
wählen	choose
Ursache	cause
das Haar	the hair
das Aussehen	the look
Punkt	point
das Jahrhundert	the century
der Beweis	the evidence
das Fenster	the window
schwer	difficult
Hör mal zu	listen
bald	soon
die Kultur	the culture
Milliarde	billion
die Chance	the chance
der Bruder	the brother
die Energie	the energy
die Periode	the period
der Kurs	the course
der Sommer	the summer
realisieren	realize
hundert	hundred
verfügbar	available
die Pflanze	the plant
wahrscheinlich	likely
die Gelegenheit	the opportunity
der Begriff	the term
kurz	short
der Buchstabe	the letter
die Bedingung	the condition
die Wahl	the choice
Ort	place
single	single
die Regel	the rule
die Tochter	the daughter
die Verwaltung	the administration
der Süden	the south
der Ehemann	the husband
der Kongress	the Congress
der Boden	the floor
die Kampagne	the campaign
das Material	the material
die Bevölkerung	the population
der Anruf	the call
die Wirtschaft	the economy
medizinisch	medical
das Krankenhaus	the hospital
die Kirche	the church
schließen	close
tausend	thousand
das Risiko	the risk
Strom	current
das Feuer	the fire
die Zukunft	the future
falsch	wrong
betreffen	involve
die Verteidigung	the defense
jemand	anyone
die Sicherheit	the security
die Bank	the bank
mich selber	myself
bestimmt	certainly
der Westen	the west
der Sport	the sport
die Tafel	the board
suchen	seek
pro	per
das Thema	the subject
der Beamte	the officer
privatgelände	private
der Rest	the rest
das Verhalten	the behavior
Deal	deal
die Performance	the performance
Kampf	fight
werfen	throw
die Spitze	the top
schnell	quickly
vergangenheit	past
das Ziel	the goal
der Zweite	the second
das Bett	the bed
die Bestellung	the order
der Autor	the author
füllen	fill
vertreten	represent
Fokus	focus
fremd	foreign
fallen	drop
planen	plan
das Blut	the blood
die Agentur	the agency
drücken	push
die Natur	the nature
die Farbe	the color
vor kurzem	recently
das Geschäft	the store
reduzieren	reduce
der Klang	the sound
Hinweis	note
fein	fine
in der Nähe von	near
die Bewegung	the movement
die Seite	the page
eingeben	enter
aktie	share
verbreitet	common
arm	poor
natürlich	natural
das Rennen	the race
die Sorge	the concern
die Serie	the series
von Bedeutung	significant
ähnlich	similar
heiß	hot
die Sprache	the language
gewöhnlich	usually
die Antwort	the response
tot	dead
erhebt euch	rise
das Tier	the animal
der Faktor	the factor
das Jahrzehnt	the decade
der Artikel	the article
schießen	shoot
der Osten	the east
sparen	save
sieben	seven
der Künstler	the artist
die Szene	the scene
die Aktie	the stock
die Karriere	the career
trotz	despite
zentral	central
acht	eight
so	thus
die Behandlung	the treatment
darüber hinaus	beyond
glücklich	happy
genau	exactly
schützen	protect
die Vorgehensweise	the approach
lüge	lie
die Größe	the size
der Hund	the dog
die Kaution	the fund
ernst	serious
auftreten	occur
die Medien	the media
bereit	ready
das Schild	the sign
der Gedanke	the thought
die Liste	the list
der Einzelne	the individual
die Qualität	the quality
der Druck	the pressure
akzeptieren	accept
die Antwort	the answer
die Ressource	the resource
identifizieren	identify
links	left
das Treffen	the meeting
bestimmen	determine
bereiten	prepare
die Krankheit	the disease
was auch immer	whatever
der Erfolg	the success
streiten	argue
die Tasse	the cup
insbesondere	particularly
die Summe	the amount
die Fähigkeit	the ability
das Personal	the staff
erkenne	recognize
zeigen	indicate
der Charakter	the character
das Wachstum	the growth
der Verlust	the loss
das Grad	the degree
sich wunder	wonder
der Angriff	the attack
sie selber	herself
die Region	the region
das Fernsehen	the television
die Kiste	the box
der Fernseher	the TV
das Training	the training
ziemlich	pretty
der Handel	the trade
der Deal	the deal
die Wahl	the election
physikalisch	physical
legen	lay
allgemeines	general
das Gefühl	the feeling
der Standard	the standard
die Rechnung	the bill
die Nachricht	the message
scheitern	fail
draußen	outside
ankommen	arrive
die Analyse	the analysis
der Vorteil	the benefit
name	name
das Geschlecht	the sex
nach vorne	forward
der Rechtsanwalt	the lawyer
geschenk	present
die Sektion	the section
umwelt	environmental
das Glas	the glass
antworten	answer
das Können	the skill
die Schwester	the sister
der Professor	the professor
die Operation	the operation
finanz	financial
das Verbrechen	the crime
die Bühne	the stage
vergleichen	compare
die Autorität	the authority
die Fräulein	the miss
das Design	the design
die Art	the sort
der Eine	the one
handlung	act
zehn	ten
das Wissen	the knowledge
die Waffe	the gun
der Bahnhof	the station
blau	blue
Zustand	state
die Strategie	the strategy
deutlich	clearly
diskutieren	discuss
tatsächlich	indeed
Macht	force
die Wahrheit	the truth
das Lied	the song
das Beispiel	the example
demokratisch	democratic
prüfen	check
die Umgebung	the environment
das Bein	the leg
dunkel	dark
die Öffentlichkeit	the public
verschiedene	various
lieber	rather
Lachen	laugh
vermuten	guess
die Exekutive	the executive
der Satz	the set
Studie	study
beweisen	prove
aufhängen	hang
ganz	entire
der Stein	the rock
Design	design
vergessen	forget
anspruch	claim
die Notiz	the note
löschen	remove
der Geschäftsführer	the manager
die Hilfe	the help
klingen	sound
genießen	enjoy
das Netzwerk	the network
legal	legal
religiös	religious
kalt	cold
bilden	form
finale	final
main	main
die Wissenschaft	the science
grün	green
die Erinnerung	the memory
die Karte	the card
der Sitz	the seat
die Zelle	the cell
gründen	establish
nett	nice
die Studie	the trial
der Experte	the expert
der Frühling	the spring
die Firma	the firm
der Demokrat	the Democrat
das Radio	the radio
besuch	visit
das Management	the management
pflege	care
vermeiden	avoid
vorstellen	imagine
heute Abend	tonight
enorm	huge
der Ball	the ball
fertig	finish
dich selber	yourself
das Gespräch	the talk
die Theorie	the theory
der Aufprall	the impact
reagieren	respond
die Aussage	the statement
pflegen	maintain
die Ladung	the charge
beliebt	popular
traditionell	traditional
auf zu	onto
verraten	reveal
die Richtung	the direction
die Waffe	the weapon
der Arbeitnehmer	the employee
kultur	cultural
enthalten	contain
der Frieden	the peace
Kopf	head
Steuerung	control
die Basis	the base
der Schmerz	the pain
sich bewerben	apply
das Spiel	the play
die Maßnahme	the measure
breit	wide
shake	shake
fliege	fly
das Interview	the interview
verwalten	manage
der Stuhl	the chair
der Fisch	the fish
besonders	particular
die Kamera	the camera
die Struktur	the structure
die Politiker	the politics
ausführen	perform
das Bit	the bit
das Gewicht	the weight
plötzlich	suddenly
entdecken	discover
der Kandidat	the candidate
die Produktion	the production
behandeln	treat
die Reise	the trip
der Abend	the evening
beeinflussen	affect
innerhalb	inside
die Konferenz	the conference
die Einheit	the unit
der Style	the style
der erwachsene	the adult
sorge	worry
die Reichweite	the range
erwähnen	mention
tief	deep
die Vergangenheit	the past
die Kante	the edge
individuell	individual
spezifisch	specific
der Schriftsteller	the writer
die Schwierigkeiten	the trouble
notwendig	necessary
die Herausforderung	the challenge
die Angst	the fear
die Schulter	the shoulder
die Institution	the institution
Mitte	middle
das Meer	the sea
der Traum	the dream
die Bar	the bar
schön	beautiful
die Eigenschaft	the property
stattdessen	instead
verbessern	improve
das Zeug	the stuff
das Detail	the detail
die Methode	the method
Schild	sign
die Zeitschrift	the magazine
das Hotel	the hotel
der Soldat	the soldier
reflektieren	reflect
schwer	heavy
sexuell	sexual
die Ursache	the cause
die Tasche	the bag
die Hitze	the heat
der Herbst	the fall
die Ehe	the marriage
zäh	tough
singen	sing
die Oberfläche	the surface
die Absicht	the purpose
existieren	exist
das Muster	the pattern
wem	whom
die Haut	the skin
der Agent	the agent
der Besitzer	the owner
die Maschine	the machine
das Gas	the gas
voraus	ahead
die Generation	the generation
kommerziell	commercial
Adresse	address
der Krebs	the cancer
Prüfung	test
der Gegenstand	the item
die Realität	the reality
der Trainer	the coach
Schritt	step
der Hof	the yard
schlagen	beat
die Gewalt	the violence
gesamt	total
neigen	tend
die Investition	the investment
die Diskussion	the discussion
der Finger	the finger
der Garten	the garden
beachten	notice
die Sammlung	the collection
modern	modern
die Aufgabe	the task
der Partner	the partner
positiv	positive
bürgerlich	civil
die Küche	the kitchen
der Verbraucher	the consumer
der Schuss	the shot
das Budget	the budget
wunsch	wish
das Gemälde	the painting
der Wissenschaftler	the scientist
die Vereinbarung	the agreement
die Hauptstadt	the capital
der Mund	the mouth
noch	nor
das Opfer	the victim
die Zeitung	the newspaper
die Drohung	the threat
die Verantwortung	the responsibility
Lächeln	smile
der Anwalt	the attorney
die Punktzahl	the score
das Konto	the account
interessant	interesting
die Pause	the break
die Zuschauer	the audience
reich	rich
das Abendessen	the dinner
Zahl	figure
western	western
sich beziehen	relate
reise	travel
die Debatte	the debate
verhindern	prevent
der Bürger	the citizen
die Mehrheit	the majority
keiner	none
Vorderseite	front
geboren	born
eingestehen	admit
Senior	senior
annehmen	assume
der Wind	the wind
Schlüssel	key
professionel	professional
die Mission	the mission
schnell	fast
allein	alone
der Kunde	the customer
leiden	suffer
die Rede	the speech
erfolgreich	successful
die Option	the option
der Teilnehmer	the participant
süd	southern
frisch	fresh
schließlich	eventually
der Wald	the forest
das Video	the video
global	global
der Senat	the Senate
die Reform	the reform
der Zugang	the access
das Restaurant	the restaurant
der Richter	the judge
veröffentlichen	publish
Kosten	cost
die Beziehung	the relation
freisetzung	release
der Vogel	the bird
die Meinung	the opinion
der Kredit	the credit
kritisch	critical
die Ecke	the corner
besorgt	concerned
erinnern	recall
die Version	the version
starren	stare
die Sicherheit	the safety
wirksam	effective
die Nachbarschaft	the neighborhood
original	original
der Akt	the act
das Einkommen	the income
direkt	directly
verletzt	hurt
die Arten	the species
sofort	immediately
die Strecke	the track
basic	basic
streik	strike
die Hoffnung	the hope
der Himmel	the sky
die Freiheit	the freedom
absolut	absolutely
das Flugzeug	the plane
niemand	nobody
leisten	achieve
das Objekt	the object
die Attitüde	the attitude
verweisen	refer
das Konzept	the concept
der Kunde	the client
mächtig	powerful
perfekt	perfect
neun	nine
deshalb	therefore
verhalten	conduct
bekannt geben	announce
die Unterhaltung	the conversation
untersuchen	examine
berühren	touch
bitte	please
besuchen	attend
vollständig	completely
abstimmung	vote
die Vielfalt	the variety
schlaf	sleep
die Wende	the turn
beteiligt	involved
die Ermittlung	the investigation
nuklear	nuclear
der Forscher	the researcher
die Presse	the press
der Konflikt	the conflict
der Geist	the spirit
erfahrung	experience
ersetzen	replace
britisch	British
ermutigen	encourage
das Argument	the argument
das Lager	the camp
das Gehirn	the brain
das Merkmal	the feature
der Nachmittag	the afternoon
das Wochenende	the weekend
dutzend	dozen
die Möglichkeit	the possibility
die Versicherung	the insurance
die Abteilung	the department
der Kampf	the battle
der Anfang	the beginning
das Datum	the date
allgemein	generally
afrikanisch	African
es tut uns leid	sorry
die Krise	the crisis
komplett	complete
der Fan	the fan
Stock	stick
definieren	define
leicht	easily
das Loch	the hole
das Element	the element
die Vision	the vision
der Status	the status
normal	normal
Chinesisch	Chinese
das Schiff	the ship
die Lösung	the solution
der Stein	the stone
langsam	slowly
die Skala	the scale
Bit	bit
die Universität	the university
vorstellen	introduce
der Fahrer	the driver
der Versuch	the attempt
der Park	the park
die Stelle	the spot
der Mangel	the lack
das Eis	the ice
das Boot	the boat
getränk	drink
die Sonne	the sun
die Distanz	the distance
das Holz	the wood
griff	handle
der LKW	the truck
die Rückkehr	the return
der Berg	the mountain
die Umfrage	the survey
soll	supposed
die Tradition	the tradition
der Winter	the winter
das Dorf	the village
sowjetisch	Soviet
sich weigern	refuse
die Verkäufe	the sales
rollen	roll
die Kommunikation	the communication
der Lauf	the run
der Bildschirm	the screen
gewinnen	gain
der Bewohner	the resident
verbergen	hide
das Gold	the gold
der Klub	the club
Zukunft	future
der Bauernhof	the farm
potenzial	potential
der Anstieg	the increase
die Mitte	the middle
europäisch	European
das Vorhandensein	the presence
unabhängig	independent
das Viertel	the district
die Form	the shape
der Leser	the reader
der Vertrag	the contract
die Menge	the crowd
Christian	Christian
ausdrücken	express
das Apartment	the apartment
bereit	willing
die Stärke	the strength
bisherige	previous
die Band	the band
offensichtlich	obviously
das Pferd	the horse
interessiert	interested
das Ziel	the target
das Gefängnis	the prison
reiten	ride
die Wache	the guard
Bedingungen	terms
die Nachfrage	the demand
der Reporter	the reporter
liefern	deliver
der Text	the text
das Teilen	the share
das Werkzeug	the tool
wild	wild
das Fahrzeug	the vehicle
beobachten	observe
der Flug	the flight
die Einrichtung	the facility
das Verständnis	the understanding
durchschnittlich	average
entstehen	emerge
der Vorteil	the advantage
Licht	light
die Führung	the leadership
verdienen	earn
das Pfund	the pound
die Basis	the basis
hell	bright
arbeiten	operate
der Gast	the guest
die Probe	the sample
beitragen	contribute
sehr klein	tiny
der Block	the block
der Schutz	the protection
begleichen	settle
futter	feed
sammeln	collect
zusätzlich	additional
höchst	highly
die Identität	the identity
der Titel	the title
meist	mostly
der Unterricht	the lesson
der Glaube	the faith
der Fluss	the river
fördern	promote
die Lebenden	the living
anzahl	count
es sei denn	unless
heiraten	marry
morgen	tomorrow
die Technik	the technique
der Weg	the path
das Ohr	the ear
das Volk	the folk
auftrag	order
das Prinzip	the principle
überleben	survive
Aufzug	lift
die Grenze	the border
der Wettbewerb	the competition
springen	jump
versammeln	gather
Grenze	limit
passen	fit
die Forderung	the claim
schrei	cry
die Ausrüstung	the equipment
wert	worth
assoziieren	associate
der Kritiker	the critic
warm	warm
der Aspekt	the aspect
darauf bestehen	insist
der Fehlschlag	the failure
jährlich	annual
Französisch	French
Weihnachten	the Christmas
der Kommentar	the comment
verantwortlich	responsible
die Affäre	the affair
das Verfahren	the procedure
regulär	regular
verbreitung	spread
der Vorsitzende	the chairman
der Baseball	the baseball
weich	soft
ignorieren	ignore
das Ei	the egg
messen	measure
der Glaube	the belief
zeigen	demonstrate
irgendjemand	anybody
der Mord	the murder
das Geschenk	the gift
die Religion	the religion
die Überprüfung	the review
der Editor	the editor
engagieren	engage
der Kaffee	the coffee
das Dokument	the document
die Geschwindigkeit	the speed
kreuz	cross
der Einfluss	the influence
sowieso	anyway
drohen	threaten
verpflichten	commit
weiblich	female
die Jugend	the youth
die Welle	the wave
die Bewegung	the move
ängstlich	afraid
das Viertel	the quarter
der Hintergrund	the background
einheimische	native
breit	broad
wunderbar	wonderful
verweigern	deny
anscheinend	apparently
leicht	slightly
die Reaktion	the reaction
zweimal	twice
der Anzug	the suit
die Perspektive	the perspective
wachsend	growing
schlag	blow
die Konstruktion	the construction
nett	kind
die Intelligenz	the intelligence
zerstören	destroy
Koch	cook
die Verbindung	the connection
aufladen	charge
brennen	burn
der Schuh	the shoe
aussicht	view
die Note	the grade
der Kontext	the context
das Komitee	the committee
Hallo	hey
der Fehler	the mistake
der Fokus	the focus
das Lächeln	the smile
der Standort	the location
die Kleidung	the clothes
indisch	Indian
ruhig	quiet
Kleid	dress
versprechen	promise
bewusst	aware
der Nachbar	the neighbor
die Fahrt	the drive
die Funktion	the function
der Knochen	the bone
aktiv	active
erweitern	extend
Chef	chief
die durchschnittliche	the average
kombinieren	combine
der Wein	the wine
unten	below
cool	cool
der Wähler	the voter
nachfrage	demand
das Lernen	the learning
der Bus	the bus
die Hölle	the hell
gefährlich	dangerous
erinnern	remind
Moral	moral
vereinigt	united
die Kategorie	the category
verhältnismäßig	relatively
der Sieg	the victory
der Schlüssel	the key
akademisch	academic
der Besuch	the visit
das Internet	the Internet
gesund	healthy
Feuer	fire
negativ	negative
folgende	following
historisch	historical
die Medizin	the medicine
die Reise	the tour
abhängen	depend
das Foto	the photo
greifen	grab
direkte	direct
das Klassenzimmer	the classroom
der Kontakt	the contact
die Gerechtigkeit	the justice
sich beteiligen	participate
täglich	daily
messe	fair
das Paar	the pair
berühmt	famous
die Übung	the exercise
das Knie	the knee
die Blume	the flower
das Band	the tape
mieten	hire
familiär	familiar
angemessen	appropriate
die Versorgung	the supply
völlig	fully
der Schnitt	the cut
der Wille	the will
der Schauspieler	the actor
die Geburt	the birth
die Suche	the search
Krawatte	tie
die Demokratie	the democracy
östlich	eastern
primär	primary
gestern	yesterday
der Kreis	the circle
das Gerät	the device
der Fortschritt	the progress
die Front	the front
die Insel	the island
der Austausch	the exchange
reinigen	clean
das Studio	the studio
Zug	train
die Dame	the lady
der Kollege	the colleague
die Anwendung	the application
der Hals	the neck
lehnen	lean
der Schaden	the damage
der Kunststoff	the plastic
hoch	tall
der Teller	the plate
hass	hate
andernfalls	otherwise
das Schreiben	the writing
männlich	male
der Anfang	the start
am Leben	alive
der Ausdruck	the expression
der Fußball	the football
wollen	intend
attacke	attack
das Huhn	the chicken
die Armee	the army
der Missbrauch	the abuse
das Theater	the theater
geschlossen	shut
die Karte	the map
extra	extra
die Sitzung	the session
die Gefahr	the danger
herzlich willkommen	welcome
inländisch	domestic
viele	lots
die Literatur	the literature
der Regen	the rain
das Verlangen	the desire
die Beurteilung	the assessment
die Verletzung	the injury
der Respekt	the respect
nord	northern
Nicken	nod
Farbe	paint
der Treibstoff	the fuel
das Blatt	the leaf
trocken	dry
Russisch	Russian
die Anleitung	the instruction
der Kampf	the fight
der Pool	the pool
steigen	climb
süss	sweet
die Führung	the lead
der Motor	the engine
vierte	fourth
das Salz	the salt
erweitern	expand
die Wichtigkeit	the importance
das Metall	the metal
das Fett	the fat
das Ticket	the ticket
die Software	the software
verschwinden	disappear
firmen	corporate
seltsam	strange
die Lippe	the lip
das Lesen	the reading
städtisch	urban
geistig	mental
zunehmend	increasingly
das Mittagessen	the lunch
lehrreich	educational
irgendwo	somewhere
der Bauer	the farmer
der Zucker	the sugar
der Planet	the planet
favorit	favorite
erkunden	explore
erhalten	obtain
der Feind	the enemy
größte	greatest
komplex	complex
umgeben	surround
der Athlet	the athlete
einladen	invite
wiederholen	repeat
vorsichtig	carefully
die Seele	the soul
wissenschaftlich	scientific
unmöglich	impossible
die Platte	the panel
die Bedeutung	the meaning
die Mutter	the mom
verheiratet	married
das Instrument	the instrument
vorhersagen	predict
das Wetter	the weather
präsidentschafts	presidential
emotional	emotional
das Engagement	the commitment
höchste	Supreme
Bär	bear
die Tasche	the pocket
dünn	thin
die Temperatur	the temperature
die Überraschung	the surprise
die Umfrage	the poll
der Antrag	the proposal
die Konsequenz	the consequence
die Hälfte	the half
der Atem	the breath
die Sicht	the sight
die Titelseite	the cover
die Balance	the balance
adoptieren	adopt
die Minderheit	the minority
gerade	straight
Versuch	attempt
verbinden	connect
die Werke	the works
das Lehren	the teaching
gehören	belong
die Hilfe	the aid
der Ratschlag	the advice
in Ordnung	okay
die Fotografie	the photograph
leer	empty
regional	regional
der Pfad	the trail
der Roman	the novel
der Code	the code
irgendwie	somehow
organisieren	organize
die Jury	the jury
die Brust	the breast
irakisch	Iraqi
der Mensch	the human
bestätigen	acknowledge
der Sturm	the storm
die Union	the union
Aufzeichnung	record
der Schreibtisch	the desk
Angst	fear
die dank	the thanks
das Obst	the fruit
teuer	expensive
gelb	yellow
das Fazit	the conclusion
primzahl	prime
der Schatten	the shadow
Kampf	struggle
daraus schließen	conclude
der Analytiker	the analyst
der Tanz	the dance
das Limit	the limit
die Regulation	the regulation
das Sein	the being
der Ring	the ring
weitgehend	largely
Verschiebung	shift
die Einnahmen	the revenue
Kennzeichen	mark
lokalisieren	locate
der Kreis	the county
die Erscheinung	the appearance
das Paket	the package
die Schwierigkeit	the difficulty
die Brücke	the bridge
empfehlen	recommend
offensichtlich	obvious
der Zug	the train
grundsätzlich gilt	basically
die Email	the e-mail
generieren	generate
nicht mehr	anymore
vorschlagen	propose
das Denken	the thinking
möglicherweise	possibly
die Tendenz	the trend
der Besucher	the visitor
das Darlehen	the loan
zur Zeit	currently
gemütlich	comfortable
der Anleger	the investor
der Profit	the profit
wütend	angry
die Besatzung	the crew
der Unfall	the accident
der männliche	the male
die Mahlzeit	the meal
die Anhörung	the hearing
der Verkehr	the traffic
der Muskel	the muscle
die Vorstellung	the notion
erfassung	capture
bevorzugen	prefer
wirklich	truly
die Erde	the earth
japanisch	Japanese
die Brust	the chest
suche	search
dick	thick
das Geld	the cash
das Museum	the museum
die Schönheit	the beauty
der Notfall	the emergency
einzigartig	unique
Feature	feature
intern	internal
ethnisch	ethnic
Verknüpfung	link
der Stress	the stress
der Inhalt	the content
wählen	select
der Ursprung	the root
die Nase	the nose
erklären	declare
schätzen	appreciate
die Flasche	the bottle
kaum	hardly
die Einstellung	the setting
starten	launch
das Kleid	the dress
